Player,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Y/Tgt,Y/G,Fmb
T.J. Houshmandzadeh,169,112,66.30%,1143,10.2,12,69,56.8,6.8,71.4,2
Wes Welker,145,112,77.20%,1175,10.5,8,65,66.2,8.1,73.4,3
Reggie Wayne,156,104,66.70%,1510,14.5,10,72,61.5,9.7,94.4,3
Derrick Mason,164,103,62.80%,1087,10.6,5,58,50,6.6,67.9,1
Brandon Marshall,170,102,60.00%,1325,13,7,71,52.4,7.8,82.8,3
Marques Colston,143,98,68.50%,1202,12.3,11,64,61.5,8.4,75.1,1
Randy Moss,160,98,61.30%,1493,15.2,23,74,58.8,9.3,93.3,0
Torry Holt,149,93,62.40%,1189,12.8,7,62,56.4,8,74.3,2
Chad Johnson,161,93,57.80%,1440,15.5,8,74,55.3,8.9,90,2
Braylon Edward,154,80,51.90%,1289,16.1,16,56,48.7,8.4,80.6,3
